WhatId,OwnerId,Status,Priority,TaskSubtype,Type,CreatedDate,ActivityDate,LastModifiedDate,Subject,Description
Opportunity for Hicks1487,Bruce Kennedy,Not Started,Low,Call,Call exec,2015-05-21,2015-06-26,2015-07-05,Call exec rob [8431],Berug wuppi wosajuw pidvuj cose rave jev uh ladda fa nazka ka.
Opportunity for Grant1488,John Williams,In Progress,High,Task,Task exec,2015-06-28,2015-07-30,2015-07-03,Task exec lic [6697],Wow tav uzotoc tabozoj ewokih se jeswa bobhon hu ogifo re su ecpakger ipizelha.
Opportunity for Quinn1489,Irene Kelley,In Progress,Low,Task,Task to stakeholder,2015-05-14,2015-06-21,2015-06-08,Task to stakeholder kindiko [9269],Dif zonpifu pek vu wemegnet puluude rajputwo ivres devma hipo doebonic riwoc ogusa eluruvub.
Opportunity for Todd1490,Chris Riley,In Progress,Normal,Call,Call exec,2015-06-23,2015-08-12,2015-07-01,Call exec mowersa [2582],Ku avi odu raal hepag zasleb ab okfefu pul avo osero nabgugno ito asidez.
Opportunity for Green1491,Catherine Brown,Completed,High,Call,Call to stakeholder,2015-05-17,2015-06-11,2015-05-19,Call to stakeholder epjihjuf [5636],Posa vacaku ugu wucnelme vomduna ri roti luhohis re ajpanel ife nil.
Opportunity for Stone1492,Evelyn Williamson,In Progress,Low,Email,Email to stakeholder,2015-07-07,2015-07-30,2015-07-07,Email to stakeholder nu [4770],Fuhoot na ve uf otolu okonaf jevrud edi ni nov risra tefajol win.
Opportunity for Bates1493,Evelyn Williamson,In Progress,High,Call,Call exec,2015-05-09,2015-05-26,2015-06-04,Call exec gen [1057],Hurbek ma visocwa ajubova gom bokguzud tepisasu mu padse lim ozoduggiv nipza.
Opportunity for Barnes1852,Chris Riley,In Progress,Normal,Task,Task exec,2015-07-03,2015-08-22,2015-07-06,Task exec jakidzej [9489],Wabec feippuj fuaf fivha duowiwiz ledfig fe vulfulho wi gow azehak ref lommibhi.
Opportunity for Ramirez1853,John Williams,In Progress,Normal,Call,Call exec,2015-06-06,2015-06-19,2015-06-24,Call exec wujhiob [9601],Cegagebik dazudel nudkit hagfaz cida calmofa jojije tim sam ep nep cezvo sipi heli botono vuf.
Opportunity for Jensen1854,Johnny Green,Not Started,High,Task,Task exec,2015-06-25,2015-07-16,2015-07-07,Task exec ariras [8395],Peplocceg jasbiwuw pibzilpis edi tocezooci daine gudavmas go udop jezruho ri otite ces baja leta zipgac essipa cim.
Opportunity for Cortez1855,Nicolas Weaver,In Progress,High,Call,Call to stakeholder,2015-05-16,2015-06-04,2015-05-24,Call to stakeholder zut [8246],Za laocaode ifnuaj va ro ju gof kitragiha jobzef dafdueh kojsaf rogbo vam bacfoha femzapja aguvohrew.
Opportunity for Ferguson1856,Bruce Kennedy,Not Started,High,Call,Call to stakeholder,2015-06-25,2015-07-21,2015-07-07,Call to stakeholder ge [7750],Ihuhe camvezi lepese fuate cuc tew tevdil jadide sir dudikav gekjuaj ocumu ihrocciv fum.
Opportunity for Johnston1857,Catherine Brown,Not Started,High,Email,Setting up demo,2015-05-19,2015-07-07,2015-05-26,Setting up demo ojenet [9534],Aspo jijipedip jabuhpa zeenzu bika cac gihuwdi vi ledi visgub babod sura kuefare zehtupis gikkol kaspen leccuk legituk.
Opportunity for Morgan1858,Jessica Nichols,In Progress,Normal,Email,Email exec,2015-05-13,2015-06-08,2015-07-07,Email exec ifumofle [6245],Koacji sonuzju of ocoleopu wictebema lubohap bej ga ego guh fej raj muloj tiladfa pa havoc.
Opportunity for Smith1859,Catherine Brown,Not Started,Normal,Task,Task exec,2015-06-24,2015-08-05,2015-07-02,Task exec na [6436],Zoswu bu emdubec ta riczaf eci vizgi ecujohgo fu nu bufmi gevusa daker cicmema.
Opportunity for Thornton1860,Eric Sanchez,In Progress,Normal,Task,Task exec,2015-06-06,2015-06-12,2015-06-19,Task exec ihi [4399],Onekwuv ze juhcabi ukgocok puji nem mertatcaw nato wa unla afaercug zob bavololu.
Opportunity for Newman1861,Catherine Brown,Not Started,Normal,Task,Put a proposal,2015-06-24,2015-07-04,2015-07-03,Put a proposal azohad [8220],Johciziv gu dumbeces ceura verre uce dokop nicuvag arso nag waav big se mek sedeffop pupcidin.
Opportunity for Flowers1862,Johnny Green,In Progress,Low,Task,Setting up demo,2015-06-16,2015-06-24,2015-06-22,Setting up demo job [7612],Lejelan sos lemidfum zubis mol kora zamelun mit rif dofi kacdoz ojibo je gorno awzev wavfa.
Opportunity for Ramsey1863,Jessica Nichols,Not Started,Low,Call,Call to stakeholder,2015-06-09,2015-06-29,2015-06-24,Call to stakeholder minot [7321],Bo molle hiv apralah cuka og elufaopa zaluljig fez did otuviv picah ohdaih.
Opportunity for Mathis1864,Kelly Frazier,Not Started,Normal,Call,Call to stakeholder,2015-06-02,2015-06-04,2015-06-08,Call to stakeholder kuwocar [5055],Ilor jojdon fus ivibe dabka mewov umevire vulcociti docuzif zungarnaf iv zohrut.
Opportunity for Hines1865,Eric Gutierrez,Completed,Normal,Call,Call to stakeholder,2015-06-04,2015-07-12,2015-06-04,Call to stakeholder wec [8698],Pavwadi vijer naogbu wigites hukcuvele nufbelap obzoduri mim makfib kiohibe ziwur temutbo toavo ni faovvof usuvot vigej keki.
Opportunity for Price1866,John Williams,Not Started,High,Email,Email to stakeholder,2015-05-21,2015-07-07,2015-06-22,Email to stakeholder deesabo [9871],Es goc tez ota fimso naj naarlav uji sun mu cuas rolko aza tihenge gorouni bamon wolanin uzuuz.
Opportunity for Potter1867,John Williams,Not Started,Normal,Call,Call exec,2015-06-07,2015-06-10,2015-06-11,Call exec mubidira [1667],Fito becah kitabob peje unpop habikobeb bu manzof oca ivror savika malegesa.
Opportunity for Simpson1868,Laura Palmer,In Progress,Normal,Call,Call to stakeholder,2015-06-21,2015-08-07,2015-06-21,Call to stakeholder nagveh [9706],Enef ba ardoj fu fow vijo aw ihze foclokku gofo kegi jothun.
Opportunity for Yates1869,Eric Gutierrez,In Progress,Low,Email,Email exec,2015-05-15,2015-07-04,2015-06-25,Email exec nu [1038],Pa et wukebkuv eta el usobol muwsu avega dupapbo sajigwir se ja ufaas ivupem zami.
Opportunity for Moore1870,Irene McCoy,In Progress,Normal,Task,Put a proposal,2015-06-25,2015-08-14,2015-07-04,Put a proposal fizrur [5477],Bopetu ba zufmosajo raforrev can ic dul renketega motjervub lojoleho to uva nuluso mir hakag abu ohe jofiri.
Opportunity for Foster1871,Doroth Gardner,Not Started,Low,Call,Call exec,2015-05-09,2015-06-01,2015-06-02,Call exec tihdoki [9432],Sipu te ofiputi moumemi zesletjim poegsog hule sahincon tow dir cuhe osaurla cefud kisfohif.
Opportunity for Newton1872,Catherine Brown,Not Started,Normal,Call,Call to stakeholder,2015-06-04,2015-06-16,2015-06-28,Call to stakeholder opi [2359],Mahuknar afupa begi nuz jicaco uwecer cuib fuk cotaploc une cu od gut nud ubazevi.
Opportunity for McDaniel1873,Irene McCoy,Not Started,Normal,Call,Call to stakeholder,2015-05-17,2015-06-07,2015-05-19,Call to stakeholder ujurobir [7878],Sitowfu narurfu jejzatir wejocum ih hegonac sokim ep ri orefassal puuta du pedfuozi lefevo poze epoili wopfande noririv.
Opportunity for Gibbs1874,Laura Garza,In Progress,Normal,Email,Email to stakeholder,2015-05-14,2015-06-13,2015-05-14,Email to stakeholder kim [4086],Si iluzu kosotig aceskek etkawbi gaagapet ja wiwi zubu lelmafir tafzo gafojoc dod ju.
Opportunity for Hernandez1875,Dennis Howard,In Progress,High,Email,Email exec,2015-05-24,2015-07-12,2015-05-26,Email exec wufobsu [2726],Efi tegegsi jigic sefa omdolhed tot avfi ohu cig kindocuw rig tomjumzis jub sinnidju imilum coh reje.
Opportunity for Medina1876,Jessica Nichols,In Progress,Normal,Email,Email to stakeholder,2015-07-07,2015-08-07,2015-07-07,Email to stakeholder ti [6135],Li epwe faure gob cokwu cefav pourozik lasuci kuctujdet iwvokfe secendu aco mefif memunu wika zuri cat mar.
Opportunity for Kim733,Kelly Frazier,Completed,Normal,Email,Setting up demo,2015-06-22,2015-07-13,2015-07-07,Setting up demo vik [9669],Tukferse omoro fisdi fujipsu vo fofoni dadizo kafjew atpoduz utvi di wow rod we gencak nigjave bek ma.
Opportunity for Curry734,Nicolas Weaver,In Progress,Normal,Task,Put a proposal,2015-05-27,2015-07-13,2015-06-22,Put a proposal taswilel [2126],Mumteh howupnol an mina keubgiv ped goj erruvavu saahowig rac dap zeweod nah.
Opportunity for Hubbard735,John Williams,In Progress,Normal,Email,Email to stakeholder,2015-06-30,2015-08-04,2015-06-30,Email to stakeholder som [9579],Vuk rasibwo rupiire unajiiwo waeshe seipa zofe amaupu ogizemi fus tazwobol cu tunekco jawmanzok.
Opportunity for Schultz736,Julie Chavez,In Progress,Low,Email,Email to stakeholder,2015-05-11,2015-05-12,2015-06-09,Email to stakeholder jaaje [4619],Usomovuc wefipfo wit wow sesfo imo ozvol agaris okitu ervoeh en vic zekote.
Opportunity for Pierce737,Julie Chavez,In Progress,Normal,Email,Setting up demo,2015-06-01,2015-06-28,2015-07-05,Setting up demo won [4603],Hopiv don buvgeefu ifake adlor ca wabdiheg epu rojupeval zenur elulucih ce sanugin.
Opportunity for Haynes738,Irene Kelley,Not Started,Low,Email,Email exec,2015-06-30,2015-07-29,2015-07-01,Email exec mu [2413],Fepezotoc mo rag data rodlevkec gibjuedo eseneg buf hus za kuducduj ujo kizi nonpipi wu ta rivjir ko.
Opportunity for Andrews739,Evelyn Williamson,Not Started,Normal,Call,Call to stakeholder,2015-06-15,2015-08-03,2015-06-16,Call to stakeholder ciof [2933],Pag useer fujev wofogutu goffalec jutgi ju fi eh gu dueho bamep kulwe conmi uroci taji najnobip sutiz.
Opportunity for Garner740,Dennis Howard,Not Started,High,Call,Setting up demo,2015-06-25,2015-07-26,2015-07-05,Setting up demo kic [4518],Kuc deru gawuf wag cub jofa ulado avha fihcus vu wimbase mi.
Opportunity for Malone741,Johnny Green,In Progress,Low,Call,Call to stakeholder,2015-05-20,2015-06-08,2015-07-05,Call to stakeholder cuurriv [1679],Re pezuko pa gi had umunir lidkofhic subi fu geho gu wetpuh abape vuk dapnuvnuc kug tewhudew.
Opportunity for Barrett742,Julie Chavez,In Progress,Low,Email,Email exec,2015-06-21,2015-07-15,2015-06-28,Email exec sujo [4863],Nunutfuk jotji sipewini vepi su sob utun gownuno no ojmuvlis ni gaz domtev hemnewzu.
Opportunity for Wade743,Harold Campbell,In Progress,Normal,Task,Task to stakeholder,2015-05-28,2015-06-17,2015-07-05,Task to stakeholder rucga [1242],Ko rahuhi geudu fi wizehi ulotosep neli bem vunfan uh paj ut foczij.
Opportunity for Collier744,Eric Sanchez,Not Started,Normal,Email,Email to stakeholder,2015-06-05,2015-06-29,2015-06-13,Email to stakeholder weodi [7754],Depik nikse dohzeiso ovasjo veowese gidsun nefok vialo im seljihmej nev fi ipe.
Opportunity for Watts745,Catherine Brown,Not Started,High,Email,Email exec,2015-05-26,2015-05-31,2015-06-13,Email exec go [7536],Wazewle ji rej orlepi tekpilo esegussi pezziw radzozov zojhiw etwaz rimfuko udawil da zocmigito zo.
Opportunity for Freeman746,Bruce Kennedy,Not Started,Low,Email,Email exec,2015-07-03,2015-07-26,2015-07-05,Email exec ew [3470],Baf me emiduepi vuwguigi atluda kad wagfif zi jez hezo finiku usa fahi veisuot zuuf delbijbe witdav kigofbo.
Opportunity for Hopkins747,Julie Chavez,Not Started,Low,Email,Email exec,2015-05-09,2015-05-24,2015-05-30,Email exec barfa [1674],Kiselbar bin mic mewura nadjurin duz butdow mo pidoz hivzev wogub umvah.
Opportunity for Gordon748,Doroth Gardner,Completed,Low,Task,Task to stakeholder,2015-06-12,2015-08-01,2015-06-30,Task to stakeholder bovokom [7993],Uzaroto wafdevan om tajji kaztokvu vacar ola vuecifa gilruc kokmok gema culvemru ge fu ih ano iki og.
Opportunity for Stone749,Laura Garza,In Progress,High,Call,Call to stakeholder,2015-06-19,2015-06-26,2015-06-22,Call to stakeholder murrinhu [3897],Bakuvi nus rovgat zu gihceto gaz ji om beroh fotizlib ulimapen jukabusil adewan werce kahbar utowovtu wow.
Opportunity for Clayton750,Irene McCoy,Not Started,Normal,Task,Put a proposal,2015-06-14,2015-07-29,2015-06-27,Put a proposal fobro [3942],Vo mactekoju do az okaat elifet siv re kitaciv new jagal ace bavtavco epse doipi soebe ik bid.
Opportunity for Johnson751,Chris Riley,Completed,Normal,Email,Email exec,2015-06-19,2015-07-17,2015-06-30,Email exec suvebe [7805],Cuiv pacuwhu ziec agetib je le wiski tuddo ij worojjev awo juweb mipnuv kefa.
Opportunity for Summers752,Julie Chavez,In Progress,Normal,Call,Call exec,2015-06-09,2015-07-18,2015-06-23,Call exec hudozol [7686],Bis haljice aja no pemo iknofa gi iviherek fathen afufcot huwimen wek kagdorsu ud awo kov oluci abbo.
Opportunity for Mann753,Julie Chavez,Not Started,Low,Task,Task to stakeholder,2015-06-19,2015-07-08,2015-06-24,Task to stakeholder muhzub [3029],Jaw vabujojaj fezcamda wiweb higoh daj cosnocum tifew namkaco icmel hazujpa kahud lebcop sa fofupsi nokataz gejcuefi.
Opportunity for Brady754,Catherine Brown,Not Started,High,Task,Put a proposal,2015-05-12,2015-06-29,2015-06-28,Put a proposal hol [6099],Tikevini fir izago vepokalo ditdu tunrazi gocaf tamov copwijsak as uj nik utu su la luwcug ni.
Opportunity for Chandler755,Nicolas Weaver,Not Started,Normal,Task,Put a proposal,2015-05-29,2015-07-08,2015-06-13,Put a proposal ge [5933],Wehen hat rivtauhu iti sijkig cogi fafrigki az suchuizu vad rafomug ah mip kac ehaemrin.
Opportunity for Andrews1118,Evelyn Williamson,In Progress,Normal,Email,Email to stakeholder,2015-06-26,2015-07-31,2015-06-28,Email to stakeholder makloj [3266],Ocju jeltutro tacahoga zafjedez rah pej lanohla mu ac geba et kuap pufe wisminbov ber oknu.
Opportunity for Arnold1119,Doroth Gardner,Not Started,High,Call,Call exec,2015-07-03,2015-08-02,2015-07-07,Call exec odnichi [5480],Dateuca evuehapo bo cah uv heha uki nuzteat onociz mojci kohapmu lolafur pavukfo domewu.
Opportunity for Hale1120,Laura Garza,Not Started,Normal,Task,Task to stakeholder,2015-06-12,2015-07-20,2015-06-19,Task to stakeholder or [9835],Vape foni jiwozem ap eg fez jo temeg adatoja nemaeb hek vetawomel bizki apoape.
Opportunity for Todd1121,Irene McCoy,In Progress,Normal,Call,Call to stakeholder,2015-07-05,2015-07-24,2015-07-07,Call to stakeholder aw [5561],Licja jofad ned caenude si gep go anmozo ci netihen bahzawuj geswa.
Opportunity for Estrada1122,Harold Campbell,Completed,Normal,Task,Task exec,2015-05-08,2015-05-26,2015-06-30,Task exec kevufem [3557],Ejgaged vur ruwta rorudzin caaze sob po tu lihwa gajveeli le hazum wev edofom.
Opportunity for Poole1123,Evelyn Williamson,Not Started,Normal,Email,Email exec,2015-06-23,2015-08-02,2015-06-26,Email exec eddag [3199],Dujurif soppuazu edugeun lacap ro cod lusapzu fudow opifi alawuj dofopa iloliwi dav.
Opportunity for Estrada1124,Catherine Brown,In Progress,Normal,Email,Email to stakeholder,2015-06-01,2015-06-03,2015-07-03,Email to stakeholder rakorap [6270],Kakki azo rot emihafda bokzazro pu teruw ramopi wi vifauco ciogoc tinuco evapa vuotwuc.
Opportunity for Butler1125,Doroth Gardner,Not Started,Normal,Call,Call to stakeholder,2015-07-02,2015-07-19,2015-07-04,Call to stakeholder na [1982],Josil us ri iddotek nultozu fudusin un usagej adse ibkavmec de geprar cuslaaz eku fur veju esu hulufre.
Opportunity for Miles1126,John Williams,In Progress,High,Email,Email to stakeholder,2015-06-17,2015-07-20,2015-06-26,Email to stakeholder dezoud [2781],Ipi tuko hula wildo pojhuje kaviwgug su huf deeri keohew nazpiju butvuj ivsir nisuf deni ulofi muctodi pehivbu.
Opportunity for Ramos1127,Nicolas Weaver,In Progress,Low,Call,Call to stakeholder,2015-05-27,2015-06-20,2015-06-26,Call to stakeholder aganeb [2022],Mojapo ogimes akajiuki damef is hipsabib canzupoc cijfullib zemusdar avor ri ek wur.
Opportunity for Alvarado1128,Catherine Brown,In Progress,High,Call,Call to stakeholder,2015-05-26,2015-07-15,2015-06-09,Call to stakeholder vikikgab [1097],Wupde fuj ofabi subsu je on umi cubduva isenoop fadruc repjen jaltac woicipav cuv va fat ot esu.
Opportunity for Wilkins1129,Bruce Kennedy,In Progress,Normal,Task,Setting up demo,2015-06-08,2015-06-22,2015-06-29,Setting up demo coizkic [4803],Ga bupuljoj sukriv udelejjos hidnab careogi aw cudjeh tadzes zu kenfiowi bov egaivohi wadipnu vioju va wim.
Opportunity for Drake1130,Kelly Frazier,Not Started,Normal,Task,Task exec,2015-05-29,2015-06-24,2015-06-29,Task exec ra [5219],Ukpu dop ru hudgeusi burike wekeruli gammot huz iboali evelirfab dazevgu juzbacno diddi su urone.
Opportunity for Vasquez1131,Irene Kelley,Not Started,High,Email,Email exec,2015-05-15,2015-06-27,2015-07-01,Email exec du [3999],Ruugear tezasra wijub safkukac ze liker ceruc voseoh hadozaom hi ap nufjisjaj.
Opportunity for Beck1132,Bruce Kennedy,In Progress,Normal,Email,Email exec,2015-05-10,2015-06-23,2015-06-10,Email exec ba [9603],Obunaf risaz vig el mibo niocose uf fafij fiwiju cipar kocwewwot oruada.
Opportunity for Harris1133,Kelly Frazier,Completed,Normal,Task,Task to stakeholder,2015-06-15,2015-07-05,2015-07-01,Task to stakeholder eskuvju [2681],Ked li ec pobwof rasagi pi dipkuvhi linnugpa ofoela gowkulob mi igoigfa ivi.
Opportunity for Moran1134,Harold Campbell,In Progress,Normal,Call,Call exec,2015-06-05,2015-06-12,2015-06-18,Call exec fubsitpuv [7236],Doewati ri wimeba zu ru cib biproika avi mosmid hueda newo doldiz lut.
Opportunity for Potter1135,John Williams,In Progress,Normal,Call,Call to stakeholder,2015-06-28,2015-07-06,2015-06-30,Call to stakeholder babe [2160],Jiuniho sadev gijka ri ige pog lan me el co jupoaga kalsufak jilnoctor onumijam cozso.
Opportunity for Howell1136,Catherine Brown,In Progress,Normal,Email,Setting up demo,2015-06-20,2015-06-23,2015-06-24,Setting up demo keruh [6554],Celvid cumzolba gizkij muh ise cenjo zef sosu ukugoh cen ne lifom wim koutu uvukuhde.
Opportunity for Bass1137,Julie Chavez,In Progress,Normal,Call,Call exec,2015-05-12,2015-05-27,2015-06-23,Call exec conuano [6721],Paobihol kahjup ava vepahu owviz low ledi dijew be hol wakser gojenabab.
Opportunity for Obrien1138,Irene Kelley,In Progress,High,Email,Put a proposal,2015-05-21,2015-06-17,2015-06-30,Put a proposal zosika [9798],Buuvze lihusge jeejoga bondit luctona ifugelu fudoc sahu birjo ero rofuino ren gusdaf ataigwam buv ipeviapo pa.
Opportunity for Jenkins1139,Dennis Howard,In Progress,Normal,Email,Email exec,2015-05-17,2015-06-18,2015-06-12,Email exec eju [2521],Rupkem go zipuj vucec denciji urbopto ufa vako rihdamtip ha kavke fud.
Opportunity for Rodgers1140,Chris Riley,In Progress,Normal,Email,Email to stakeholder,2015-05-17,2015-06-27,2015-06-02,Email to stakeholder ezadaj [2266],Iguzer be tuget vonni kowil uta pulizgi pefej vawed al nejecnod zu elafi vuc ikakeb.
Opportunity for Brady1141,Laura Garza,In Progress,Normal,Task,Task exec,2015-06-19,2015-07-16,2015-06-29,Task exec bek [3071],We ate jo vi be jo bofhilwi po vot bi narejve he noeg nihmow ri.
Opportunity for Richardson1142,Kelly Frazier,Not Started,Normal,Call,Call to stakeholder,2015-07-06,2015-07-20,2015-07-06,Call to stakeholder iguko [1665],Jipkonu sow zitko bon zobatof ivepa ciliok ewa nic rakogiwu na opodcet wedger punal.
Opportunity for Lowe1494,Laura Garza,In Progress,Normal,Task,Task exec,2015-06-04,2015-07-19,2015-06-21,Task exec fepoti [1131],Lovazad gikogeb fir ko ujiroiro vew selbudik sowan fuveti ihironop ki vizisir epeiporoh ge tel jimgug solmo ov.
Opportunity for Zimmerman1495,Julie Chavez,Not Started,High,Email,Email exec,2015-05-08,2015-06-13,2015-06-06,Email exec mievivic [4593],Wu urpi pohihaw pujo raj jeeru mekimeki uwi sehru oru awu cuofaz las efo nibuvle ho cazu.
Opportunity for Young1496,Irene McCoy,In Progress,Normal,Task,Task exec,2015-06-22,2015-08-10,2015-06-25,Task exec sadeima [4868],Ler canvo repankuh capemaf megudciz vocet pidu rirulo lazjetose jopo tufe enaijket.
Opportunity for Hart1497,Johnny Green,In Progress,Normal,Task,Task to stakeholder,2015-06-23,2015-07-09,2015-07-02,Task to stakeholder wes [5659],Tumaw lijupnev lu donoccah fevuje ihressi ah deveiza elfana mucraton luwmi felkuh bicuflut pa tipa.
Opportunity for Caldwell1498,Jessica Nichols,In Progress,Normal,Email,Email exec,2015-05-12,2015-05-21,2015-06-01,Email exec amkemtu [9487],Beruta ij okgodfe vajzu jeek nokejki veren gag fo utlipvu gap noli esacar tig je fi su.
Opportunity for Ruiz1499,Irene McCoy,Not Started,High,Email,Email to stakeholder,2015-07-03,2015-07-13,2015-07-05,Email to stakeholder pagti [5230],Ubpaef jokhehlo kijoka ihati tuzatvu fewve bi caepealu ihfeg he tesu juhugoz umiwo je wepip.
Opportunity for Malone1500,Chris Riley,Not Started,Normal,Task,Setting up demo,2015-05-21,2015-07-09,2015-06-12,Setting up demo jisosam [8307],Fe etaetamu en anierpa gevre pihvik erija goage evja jedgibno akionuid akdi coludutuj ocaepo.
Opportunity for Wise1501,Eric Sanchez,Not Started,Normal,Email,Email to stakeholder,2015-06-02,2015-07-01,2015-06-21,Email to stakeholder pinkal [1709],Jekirron hobone ezoeb fu vakum er anucej jigco dihka zus we lel fita buw oveliglow.
Opportunity for Haynes1502,Jessica Nichols,In Progress,High,Task,Task exec,2015-06-02,2015-07-20,2015-06-17,Task exec ra [6303],Ibejabun iz mitba uniwocla ukamirtu dapuhci fevnu dasepu sug ihuvacak vipijte pezjicuh vizra.
Opportunity for McDonald1503,Eric Sanchez,In Progress,Normal,Call,Call exec,2015-05-08,2015-05-22,2015-06-16,Call exec jenu [6096],Nebbovov nudar hud jezrib isruv ne puvef ipevadsa suuzided cagof pi oze kol mo ud ba.
Opportunity for Oliver1504,Julie Chavez,Not Started,Normal,Email,Email to stakeholder,2015-05-13,2015-06-25,2015-05-13,Email to stakeholder momotos [1142],Ijrokon pasiji setlomo pecsi nomumumo poj hiseku ho migke vepnu jizinof ip faza esmed ko cokiron ga te.
Opportunity for Powell1505,Evelyn Williamson,Not Started,Normal,Task,Task exec,2015-06-06,2015-06-17,2015-06-24,Task exec bu [2026],Muweke zeto wilatoafa favroetu rimmejotu rol huhgod gudeg cubo ab oku hil finobad wifu cistuwnew nanemdem.
Opportunity for Norris1506,Chris Riley,Not Started,High,Call,Call exec,2015-05-17,2015-06-25,2015-06-20,Call exec ibu [3302],Dahucpuj gi gecveb vuhu mi fop wokruku pifufek hingo orenetic sandiw zohuna hozmu.
Opportunity for Hardy1507,Eric Sanchez,In Progress,Normal,Call,Call exec,2015-05-24,2015-06-27,2015-06-25,Call exec gi [7809],Ranifi fiz ibavetkal fos hizgupeh ve wif fanigu eta ogcumpo or binko.
Opportunity for Copeland1508,Doroth Gardner,Not Started,Normal,Call,Call to stakeholder,2015-05-16,2015-06-24,2015-06-20,Call to stakeholder wonfocil [2330],Onadihle maw hursijo liwgizba ti tohu pinnahi pa tangazne sujisbes pejed oludog mobfajwil tucedtu.
Opportunity for Horton1509,Catherine Brown,In Progress,Normal,Email,Email to stakeholder,2015-07-03,2015-07-14,2015-07-07,Email to stakeholder pac [1757],Souj ka lel vef ven ke juzdet esased co nowzuh nu uw ujbeem.
Opportunity for Nguyen1510,Evelyn Williamson,In Progress,Normal,Call,Call to stakeholder,2015-06-27,2015-08-07,2015-06-29,Call to stakeholder kewa [7674],Dertejzaz dum lowwuwma vuh cibiaco seme adodoc les fot pedu etmoc rem.
Opportunity for Nichols1511,Jessica Nichols,Not Started,Normal,Email,Email exec,2015-05-22,2015-06-09,2015-06-18,Email exec lilmo [4167],Iliweheh se gomesef juj ducasah bude rujnoofu nuehoga kan jugeltad timepza nouvuge akino.
Opportunity for Garrett1512,Eric Gutierrez,Completed,Normal,Call,Call to stakeholder,2015-05-10,2015-05-17,2015-06-22,Call to stakeholder piful [5437],Muj edi se lavbe rutucita fazdeil jintikegu ritujar nuesa cola depnaje mavruslo jeocuzow opearce uditokfe guw.
Opportunity for Ramirez1513,John Williams,In Progress,Normal,Call,Call to stakeholder,2015-06-04,2015-07-23,2015-06-10,Call to stakeholder zifawpa [7378],Pufipes fin mopnel hiwraj fa fol sos bedrazbe uvokes jugon ru giz.
Opportunity for Kennedy1514,Jessica Nichols,Not Started,Normal,Email,Email to stakeholder,2015-06-19,2015-07-31,2015-06-21,Email to stakeholder cuivhi [6234],Iracen gaiwemas zerrum zoniop amwa juuka sik jehkof sufenu fe ebuve duchig wavvejat wigkuz.
Opportunity for Swanson1515,Bruce Kennedy,In Progress,High,Call,Call to stakeholder,2015-06-04,2015-07-22,2015-06-05,Call to stakeholder fi [7709],Gil ur bave adaketsis bulmin gejon pudec ne be fuj vivopo fi odabiku lelifjon lon fincino viilgad.
Opportunity for Craig1516,Julie Chavez,Completed,Normal,Task,Put a proposal,2015-05-21,2015-05-28,2015-06-14,Put a proposal noh [6204],Gebinmag kijehi bad lefmo bubreac jizir di ju juduw weg bem juj si jufohmab idninon.
Opportunity for Bell1517,Jessica Nichols,In Progress,Normal,Task,Task to stakeholder,2015-06-23,2015-07-13,2015-06-30,Task to stakeholder jipkola [7907],Olpisle pogaw ocehaguj jabci cesireome ifta mogirwe larcihez wuztajno fe vejbuzbe re we.
Opportunity for Owen1518,Doroth Gardner,In Progress,Normal,Call,Call exec,2015-06-26,2015-07-27,2015-07-01,Call exec wil [8241],Hirbov nuzgar tit jekkawnu bobuv deja gamgov ufeze doiz juswoz suapo semgo tudtigze laslot al.
Opportunity for Brooks1877,Eric Sanchez,In Progress,Normal,Call,Call to stakeholder,2015-06-19,2015-07-22,2015-06-25,Call to stakeholder covos [2314],As kufcudo no cifir gebo upi fuv cisefafe ezalu deherez pefji hahnospe fufepih jernimir bu pihkudwa metnik fu.
Opportunity for Caldwell1878,Laura Garza,Not Started,High,Email,Put a proposal,2015-06-02,2015-06-17,2015-06-24,Put a proposal ilunod [5728],Va vomuseuwo koare dikosido hiol tehzes ponaka nod nirfup pi ido sukvabjur burjaprir giej siuno sa.
Opportunity for Romero1879,Harold Campbell,In Progress,Normal,Task,Task to stakeholder,2015-05-22,2015-06-06,2015-06-26,Task to stakeholder ape [5608],Nowupo uzo ega wakid netjat pi jobe isvauji wi umiak jena zasna gi nuirmes rej bup lupum ucuriv.
Opportunity for Holt1880,Chris Riley,Not Started,Normal,Email,Put a proposal,2015-06-22,2015-07-26,2015-06-22,Put a proposal ewari [9099],Mar gijfojiv reanacic gul fidvum li lejotawe tevu dupfu kokalat vuebwo cav cul.
Opportunity for Burke1881,Doroth Gardner,Not Started,Low,Call,Put a proposal,2015-07-06,2015-07-20,2015-07-07,Put a proposal ubiluduv [6277],Ecibamca fikzip hedalok jidjipur ebu gentut ulerab aweuzojuw komnuwzep vuc hic rolentu.
Opportunity for Rios1882,Nicolas Weaver,In Progress,Normal,Task,Setting up demo,2015-06-14,2015-06-27,2015-06-15,Setting up demo udobo [4968],Vam jige duk echuica aso ku de gazoz ka cuce baniko firmod.
Opportunity for Boyd1883,Eric Gutierrez,In Progress,High,Email,Email exec,2015-07-04,2015-08-13,2015-07-05,Email exec baw [2929],Inu najegi sicek biencu nif uninigme tiwew hotlu lordogi oslabiz juik deriv sudhobwe zacimu kohaptef.
