Account.Name,Amount,CloseDate,LeadSource,Name,Owner.Name,StageName,Type,CreatedDate,ForecastCategory,Opportunity_Source__c
Keller1 Inc,2666000,2012-12-05,Partner,Opportunity for Evans115,John Williams,Closed Won,New Business / Add-on,2012-08-17,Closed,Marketing
Reeves436 Inc,1082040,2013-05-13,Web,Opportunity for McBride116,Eric Gutierrez,Closed Won,New Business / Add-on,2012-10-17,Closed,Alliances
Christensen164 Inc,447063,2012-08-28,Employee Referral,Opportunity for Adkins117,Bruce Kennedy,Closed Won,Existing Business,2012-02-28,Closed,Marketing
Bowen938 Inc,1173590,2013-08-19,Word of mouth,Opportunity for Medina118,Eric Gutierrez,Closed Lost,New Business,2013-07-20,Omitted,BDR
Hawkins276 Inc,195360,2014-12-08,Public Relations,Opportunity for Peterson119,Bruce Kennedy,Closed Lost,New Business / Add-on,2014-06-02,Omitted,Marketing
Yates593 Inc,6058,2012-04-10,Web,Opportunity for Tran120,John Williams,Closed Lost,New Business,2011-09-27,Omitted,Marketing
Malone315 Inc,644500,2012-12-25,Advertisement,Opportunity for Scott121,Bruce Kennedy,Closed Won,New Business,2012-09-29,Closed,AE
Coleman288 Inc,351800,2014-03-25,Employee Referral,Opportunity for Pope122,Eric Gutierrez,Closed Won,New Business / Add-on,2013-10-20,Closed,Marketing
Harper756 Inc,4160100,2013-08-23,Word of mouth,Opportunity for Mills123,John Williams,Closed Lost,New Business / Add-on,2013-01-07,Omitted,Alliances
Johnston133 Inc,58770,2013-01-27,Advertisement,Opportunity for Abbott124,Eric Sanchez,Closed Lost,Existing Business,2012-06-17,Omitted,BDR
Bishop597 Inc,433620,2012-09-15,Word of mouth,Opportunity for Webster125,Irene McCoy,Closed Lost,New Business / Add-on,2012-08-10,Omitted,Marketing
Reeves436 Inc,1085540,2013-11-27,Word of mouth,Opportunity for Doyle126,Kelly Frazier,Closed Lost,New Business / Add-on,2013-06-21,Omitted,Marketing
Freeman751 Inc,1578500,2014-12-22,Trade Show,Opportunity for Carroll233,Irene McCoy,Closed Won,New Business / Add-on,2014-07-04,Closed,Marketing
Gray676 Inc,2734080,2014-08-13,Word of mouth,Opportunity for Murphy234,Irene McCoy,Closed Won,Existing Business,2014-05-01,Closed,AE
Obrien994 Inc,1429760,2014-12-06,Advertisement,Opportunity for Butler235,Chris Riley,Closed Won,Existing Business,2014-06-09,Closed,Alliances
Hernandez579 Inc,1194090,2013-05-21,Employee Referral,Opportunity for Saunders236,Dennis Howard,Closed Won,New Business,2013-03-20,Closed,BDR
James431 Inc,181882,2014-07-25,Employee Referral,Opportunity for Rodgers237,Nicolas Weaver,Closed Won,New Business / Add-on,2014-05-31,Closed,BDR
Bush454 Inc,2250950,2014-04-19,Seminar - Internal,Opportunity for Willis238,Irene Kelley,Closed Won,New Business,2013-08-22,Closed,Alliances
Singleton222 Inc,3618680,2013-10-06,Employee Referral,Opportunity for Fox239,Laura Palmer,Closed Won,Existing Business,2013-07-04,Closed,BDR
Sanchez737 Inc,149640,2013-06-07,Partner,Opportunity for Mills240,Nicolas Weaver,Closed Lost,New Business,2013-04-18,Omitted,BDR
Griffith580 Inc,1132920,2014-07-06,Employee Referral,Opportunity for Richardson241,Catherine Brown,Closed Won,New Business / Add-on,2014-05-03,Closed,Marketing
Graves33 Inc,5183700,2013-05-07,Advertisement,Opportunity for Peters242,Laura Garza,Closed Won,New Business,2013-03-22,Closed,Marketing
Ortiz520 Inc,790600,2014-07-06,Word of mouth,Opportunity for Oliver243,Evelyn Williamson,Closed Lost,New Business,2013-11-10,Omitted,Alliances
Simmons663 Inc,349368,2012-08-05,Employee Referral,Opportunity for Francis244,Catherine Brown,Closed Won,New Business,2012-03-05,Closed,BDR
Conner965 Inc,44560,2012-03-02,Public Relations,Opportunity for Sullivan245,Eric Gutierrez,Closed Lost,New Business,2011-08-05,Omitted,AE
Reese71 Inc,463400,2014-10-21,Word of mouth,Opportunity for Hamilton246,Eric Sanchez,Closed Lost,New Business,2014-08-03,Omitted,AE
Lambert452 Inc,1214160,2014-12-31,Partner,Opportunity for Padilla247,Irene Kelley,Closed Lost,New Business / Add-on,2014-09-20,Omitted,AE
Newman145 Inc,2581825,2013-05-29,Partner,Opportunity for Pierce248,Nicolas Weaver,Closed Won,New Business,2013-02-18,Closed,Marketing
Bass271 Inc,343824,2012-03-10,Trade Show,Opportunity for Park249,Dennis Howard,Closed Won,New Business,2011-11-07,Closed,BDR
Watkins939 Inc,368040,2014-02-07,Word of mouth,Opportunity for Day250,Harold Campbell,Closed Won,New Business,2014-01-22,Closed,BDR
Stewart319 Inc,314000,2013-12-25,Seminar - Internal,Opportunity for Allison251,Nicolas Weaver,Closed Won,New Business,2013-11-30,Closed,BDR
Myers581 Inc,431194,2014-12-31,Employee Referral,Opportunity for Barnett252,Nicolas Weaver,Closed Won,Existing Business,2014-10-11,Closed,BDR
Newman432 Inc,1508600,2013-12-17,Advertisement,Opportunity for Bowen253,Eric Gutierrez,Closed Lost,New Business / Add-on,2013-10-14,Omitted,Marketing
Haynes623 Inc,52200,2012-10-05,Word of mouth,Opportunity for Hicks254,Johnny Green,Closed Won,New Business / Add-on,2012-05-20,Closed,BDR
Roy360 Inc,377690,2014-08-18,Partner,Opportunity for Ford255,Johnny Green,Closed Won,New Business / Add-on,2014-06-06,Closed,AE
Davidson606 Inc,2218900,2015-03-20,Advertisement,Opportunity for Cooper256,Irene Kelley,Closed Lost,Existing Business,2015-01-19,Omitted,BDR
Dawson161 Inc,438574,2012-04-01,Employee Referral,Opportunity for Gomez257,Julie Chavez,Closed Won,New Business / Add-on,2011-12-06,Closed,BDR
Bennett519 Inc,269000,2013-04-30,Web,Opportunity for Day327,Johnny Green,Closed Won,Existing Business,2012-10-03,Closed,BDR
Cummings974 Inc,801800,2014-02-25,Web,Opportunity for Knight328,Irene Kelley,Closed Won,New Business,2013-09-16,Closed,BDR
Bush454 Inc,3173450,2015-06-21,Trade Show,Opportunity for Campbell329,Laura Palmer,Closed Won,New Business,2015-04-30,Closed,AE
Reed186 Inc,276000,2014-10-13,Advertisement,Opportunity for Reynolds330,Doroth Gardner,Closed Lost,New Business / Add-on,2014-05-13,Omitted,BDR
Long301 Inc,189430,2012-08-26,Advertisement,Opportunity for Poole331,Eric Sanchez,Closed Won,New Business,2012-05-18,Closed,Marketing
Pratt392 Inc,313425,2015-07-11,Employee Referral,Opportunity for Fletcher332,Laura Palmer,Value Proposition,New Business / Add-on,2015-04-24,Pipeline,AE
Crawford184 Inc,1477950,2012-11-25,Employee Referral,Opportunity for Greer333,Chris Riley,Closed Won,New Business / Add-on,2012-05-17,Closed,AE
Henderson891 Inc,2031520,2013-12-09,Employee Referral,Opportunity for Hopkins334,Johnny Green,Closed Lost,New Business,2013-08-28,Omitted,AE
Martinez649 Inc,350965,2013-08-01,Partner,Opportunity for Doyle335,Kelly Frazier,Closed Won,New Business,2013-04-29,Closed,Marketing
Keller1 Inc,389120,2015-09-29,Employee Referral,Opportunity for Shaw336,Eric Gutierrez,Qualification,New Business / Add-on,2015-06-16,Pipeline,AE
Holloway471 Inc,1241600,2014-10-21,Partner,Opportunity for Roy337,Laura Garza,Closed Won,New Business,2014-08-31,Closed,AE
Mendoza748 Inc,1412500,2014-02-28,Partner,Opportunity for Haynes338,Laura Garza,Closed Won,New Business,2014-02-07,Closed,AE
Chambers753 Inc,471500,2014-02-05,Public Relations,Opportunity for Hoffman339,Irene McCoy,Closed Won,New Business,2013-09-12,Closed,AE
Wade515 Inc,176760,2012-04-02,Public Relations,Opportunity for Chapman340,Doroth Gardner,Closed Won,Existing Business,2011-08-25,Closed,Marketing
Morgan782 Inc,139390,2014-02-04,Web,Opportunity for Lee341,Julie Chavez,Closed Won,New Business / Add-on,2013-12-21,Closed,Marketing
Walsh54 Inc,5280,2015-03-17,Partner,Opportunity for Brooks342,Bruce Kennedy,Closed Won,New Business,2015-02-27,Closed,BDR
Howell204 Inc,262045,2012-06-15,Word of mouth,Opportunity for Neal343,Evelyn Williamson,Closed Won,New Business,2011-11-13,Closed,AE
Armstrong378 Inc,248500,2012-10-19,Advertisement,Opportunity for Lopez344,Johnny Green,Closed Won,New Business / Add-on,2012-09-19,Closed,BDR
Russell560 Inc,3145700,2015-04-04,Partner,Opportunity for Gomez345,Catherine Brown,Closed Lost,New Business,2014-12-24,Omitted,BDR
West49 Inc,1668500,2014-12-08,Partner,Opportunity for Lamb346,Eric Sanchez,Closed Lost,New Business,2014-07-19,Omitted,AE
Robinson442 Inc,157900,2014-07-20,Trade Show,Opportunity for Fuller347,Eric Sanchez,Closed Lost,New Business,2014-01-20,Omitted,AE
Gonzales409 Inc,2057100,2012-09-30,Partner,Opportunity for Norris348,Dennis Howard,Closed Lost,New Business / Add-on,2012-02-20,Omitted,AE
Tate321 Inc,483320,2013-08-24,Employee Referral,Opportunity for Daniel349,Irene Kelley,Closed Won,Existing Business,2013-04-04,Closed,Marketing
Rodriquez626 Inc,56067,2012-12-25,Web,Opportunity for Morrison350,Eric Gutierrez,Closed Won,New Business / Add-on,2012-10-31,Closed,Alliances
Ferguson18 Inc,919335,2013-06-22,Employee Referral,Opportunity for Neal351,Laura Palmer,Closed Won,New Business,2012-12-11,Closed,AE
Maxwell670 Inc,819200,2013-06-30,Employee Referral,Opportunity for Perez683,Johnny Green,Closed Won,Existing Business,2013-06-15,Closed,AE
Simmons663 Inc,624510,2015-10-03,Partner,Opportunity for Christensen684,Irene Kelley,Qualification,Existing Business,2015-03-27,Pipeline,Marketing
Aguilar870 Inc,1448100,2013-01-18,Public Relations,Opportunity for Guzman685,Doroth Gardner,Closed Won,New Business,2012-12-24,Closed,AE
Hopkins739 Inc,38400,2013-11-18,Web,Opportunity for Willis686,Doroth Gardner,Closed Won,New Business,2013-03-24,Closed,BDR
Pittman435 Inc,143595,2012-12-10,Advertisement,Opportunity for Lucas687,Nicolas Weaver,Closed Lost,New Business,2012-11-26,Omitted,BDR
Evans525 Inc,1177800,2012-07-31,Trade Show,Opportunity for McCoy688,Evelyn Williamson,Closed Won,Existing Business,2012-05-21,Closed,BDR
Marsh836 Inc,2135800,2015-02-23,Employee Referral,Opportunity for Murray689,Laura Palmer,Closed Lost,New Business,2014-11-13,Omitted,Marketing
Rios384 Inc,1876975,2012-02-14,Employee Referral,Opportunity for Bell690,Catherine Brown,Closed Won,New Business,2011-12-05,Closed,Marketing
Ortega103 Inc,1423050,2013-04-09,Partner,Opportunity for Fields691,Evelyn Williamson,Closed Won,New Business / Add-on,2013-03-26,Closed,Marketing
Fowler716 Inc,1160850,2014-03-03,Word of mouth,Opportunity for Casey692,Julie Chavez,Closed Won,New Business,2013-10-25,Closed,AE
Dawson260 Inc,2004540,2014-08-13,Employee Referral,Opportunity for Haynes693,Irene Kelley,Closed Won,New Business,2014-02-22,Closed,Marketing
Schmidt289 Inc,452200,2015-03-22,Employee Referral,Opportunity for Gomez694,Nicolas Weaver,Closed Lost,New Business / Add-on,2014-09-24,Omitted,Marketing
Stokes935 Inc,538820,2015-04-29,Word of mouth,Opportunity for McKenzie695,Eric Sanchez,Closed Lost,New Business,2015-04-05,Omitted,BDR
Fletcher429 Inc,137400,2015-08-03,Employee Referral,Opportunity for Malone696,Chris Riley,Negotiation/Review,New Business / Add-on,2015-06-28,Forecast,BDR
Wallace727 Inc,557780,2014-03-03,Advertisement,Opportunity for Diaz697,Nicolas Weaver,Closed Won,New Business,2013-09-29,Closed,AE
Lawrence50 Inc,1445850,2014-06-23,Employee Referral,Opportunity for Barnes698,Eric Sanchez,Closed Won,New Business,2013-11-15,Closed,AE
Weaver350 Inc,2669875,2015-05-16,Trade Show,Opportunity for Ingram699,Evelyn Williamson,Closed Lost,Existing Business,2014-11-16,Omitted,Marketing
Alvarado236 Inc,19044,2014-11-29,Partner,Opportunity for Phillips700,Laura Palmer,Closed Lost,New Business,2014-08-06,Omitted,Marketing
Cooper671 Inc,1330200,2012-04-11,Advertisement,Opportunity for Hopkins701,Eric Gutierrez,Closed Won,New Business,2012-02-15,Closed,BDR
Meyer233 Inc,3113000,2013-12-24,Employee Referral,Opportunity for Armstrong702,Kelly Frazier,Closed Won,New Business,2013-10-22,Closed,Alliances
Bailey893 Inc,193530,2012-04-20,Seminar - Internal,Opportunity for Weber703,Johnny Green,Closed Won,New Business,2011-11-05,Closed,AE
Moore470 Inc,1480100,2014-03-14,Public Relations,Opportunity for Manning704,Laura Garza,Closed Won,New Business / Add-on,2013-07-30,Closed,Marketing
Tran798 Inc,2863600,2013-12-03,Employee Referral,Opportunity for Hughes705,Kelly Frazier,Closed Won,New Business,2013-06-02,Closed,AE
Perez237 Inc,168240,2012-12-10,Web,Opportunity for Summers706,Johnny Green,Closed Won,New Business,2012-04-17,Closed,Alliances
Beck447 Inc,171360,2014-01-08,Web,Opportunity for Carpenter707,Harold Campbell,Closed Won,New Business,2013-12-21,Closed,AE
Ellis327 Inc,248276,2015-10-25,Seminar - Internal,Opportunity for Swanson1068,Laura Garza,Negotiation/Review,New Business,2015-04-22,Forecast,AE
Glover254 Inc,1867750,2014-12-01,Employee Referral,Opportunity for Ramsey1069,Chris Riley,Closed Won,Existing Business,2014-08-18,Closed,Marketing
Graves925 Inc,520000,2013-07-13,Partner,Opportunity for Robbins1070,Bruce Kennedy,Closed Won,Existing Business,2013-02-21,Closed,Alliances
Ingram783 Inc,134040,2013-12-28,Seminar - Internal,Opportunity for Wong1071,Evelyn Williamson,Closed Won,New Business,2013-11-10,Closed,Alliances
Marsh614 Inc,93635,2013-02-08,Employee Referral,Opportunity for Greer1072,Laura Garza,Closed Lost,New Business,2012-10-25,Omitted,AE
Jackson589 Inc,15920,2014-08-26,Employee Referral,Opportunity for Graham1073,Julie Chavez,Closed Won,New Business,2014-07-05,Closed,Marketing
Graham705 Inc,147000,2012-08-16,Employee Referral,Opportunity for Gray1074,Eric Sanchez,Closed Won,New Business,2012-06-08,Closed,Marketing
Rodgers461 Inc,1501300,2013-01-24,Public Relations,Opportunity for Zimmerman1075,Julie Chavez,Closed Won,New Business,2012-06-12,Closed,BDR
Thomas208 Inc,771200,2014-06-30,Web,Opportunity for Vaughn1076,Nicolas Weaver,Closed Lost,New Business,2014-03-07,Omitted,BDR
Adkins812 Inc,389250,2012-06-07,Trade Show,Opportunity for Figueroa1077,Evelyn Williamson,Closed Won,New Business,2012-02-17,Closed,Marketing
Webb165 Inc,36960,2015-09-03,Web,Opportunity for Weber1078,Doroth Gardner,Value Proposition,New Business / Add-on,2015-04-12,Pipeline,BDR
Jackson589 Inc,979000,2012-08-15,Word of mouth,Opportunity for Stone1079,John Williams,Closed Won,Existing Business,2012-05-11,Closed,Marketing
Tucker284 Inc,2035150,2013-10-24,Employee Referral,Opportunity for Bush1080,Laura Palmer,Closed Won,Existing Business,2013-07-18,Closed,AE
Johnson960 Inc,218204,2014-07-06,Seminar - Internal,Opportunity for Bowman1081,Eric Gutierrez,Closed Won,New Business / Add-on,2014-03-07,Closed,Marketing
Hill331 Inc,457656,2014-12-20,Web,Opportunity for Maxwell1082,Laura Palmer,Closed Won,New Business / Add-on,2014-06-23,Closed,AE
Schneider841 Inc,90720,2013-01-08,Trade Show,Opportunity for Harris1083,John Williams,Closed Won,New Business / Add-on,2012-07-02,Closed,AE
Evans525 Inc,2296480,2013-07-15,Trade Show,Opportunity for Underwood1084,Dennis Howard,Closed Won,New Business,2012-11-21,Closed,AE
Maxwell896 Inc,2722550,2014-03-27,Employee Referral,Opportunity for Robinson1085,Laura Palmer,Closed Won,New Business,2014-03-15,Closed,BDR
Morgan782 Inc,253396,2012-03-26,Seminar - Internal,Opportunity for Barrett1086,Laura Garza,Closed Lost,New Business / Add-on,2011-11-07,Omitted,BDR
Fleming710 Inc,263500,2015-01-01,Seminar - Internal,Opportunity for Soto1087,Irene Kelley,Closed Won,New Business / Add-on,2014-05-21,Closed,Alliances
Allison992 Inc,2592000,2015-09-19,Public Relations,Opportunity for Alvarez1088,Dennis Howard,Needs Analysis,New Business,2015-02-28,Pipeline,BDR
Mitchell796 Inc,2175830,2013-04-05,Word of mouth,Opportunity for Nelson1089,Eric Gutierrez,Closed Lost,New Business,2013-02-17,Omitted,Alliances
Walsh54 Inc,3034745,2013-05-07,Partner,Opportunity for Jackson1090,Harold Campbell,Closed Lost,New Business / Add-on,2013-01-12,Omitted,BDR
Sutton709 Inc,88400,2014-04-19,Employee Referral,Opportunity for Hunter1091,Bruce Kennedy,Closed Lost,New Business,2014-03-21,Omitted,AE
Stewart123 Inc,37400,2014-02-20,Partner,Opportunity for Owens1092,Chris Riley,Closed Won,New Business / Add-on,2013-07-08,Closed,Alliances
Warner109 Inc,56280,2014-02-08,Employee Referral,Opportunity for Wolfe1449,Harold Campbell,Closed Won,New Business / Add-on,2013-10-06,Closed,Marketing
Romero826 Inc,45600,2014-11-08,Web,Opportunity for Daniels1450,Catherine Brown,Closed Won,New Business,2014-09-11,Closed,AE
Owens588 Inc,163110,2015-01-11,Web,Opportunity for Chandler1451,John Williams,Closed Lost,New Business / Add-on,2014-07-31,Omitted,AE
Ingram644 Inc,735870,2015-10-02,Employee Referral,Opportunity for Grant1452,Eric Gutierrez,Prospecting,Existing Business,2015-07-07,Pipeline,AE
Strickland686 Inc,1026300,2014-01-13,Partner,Opportunity for Moody1453,Eric Gutierrez,Closed Lost,Existing Business,2013-10-12,Omitted,AE
Bailey19 Inc,1872700,2013-12-26,Employee Referral,Opportunity for Jackson1454,Chris Riley,Closed Won,New Business / Add-on,2013-10-08,Closed,AE
Fleming762 Inc,482025,2016-01-05,Word of mouth,Opportunity for Bates1455,Bruce Kennedy,Value Proposition,New Business / Add-on,2015-06-08,Pipeline,Alliances
Roy617 Inc,492100,2012-04-23,Employee Referral,Opportunity for Curry1456,Doroth Gardner,Closed Won,New Business,2011-11-24,Closed,AE
Hampton240 Inc,200475,2013-07-12,Employee Referral,Opportunity for Bowen1457,Dennis Howard,Closed Lost,New Business,2013-03-29,Omitted,AE
Owen872 Inc,1438500,2014-08-21,Advertisement,Opportunity for Fisher1458,Dennis Howard,Closed Won,New Business / Add-on,2014-02-23,Closed,BDR
Reynolds298 Inc,2000740,2012-11-01,Word of mouth,Opportunity for Holloway1459,Catherine Brown,Closed Won,New Business / Add-on,2012-04-27,Closed,BDR
Harris13 Inc,2714200,2014-12-14,Partner,Opportunity for Paul1460,Irene Kelley,Closed Lost,New Business,2014-08-28,Omitted,Marketing
Graham705 Inc,60160,2015-08-01,Advertisement,Opportunity for Cruz1461,Laura Palmer,Value Proposition,New Business,2014-12-15,Pipeline,AE
Reynolds298 Inc,322500,2012-08-13,Advertisement,Opportunity for Long1462,Eric Gutierrez,Closed Won,New Business,2012-06-25,Closed,Marketing
Bowen576 Inc,1983750,2013-03-16,Employee Referral,Opportunity for Russell1463,Dennis Howard,Closed Lost,New Business,2012-12-01,Omitted,Marketing
Myers581 Inc,5198280,2015-07-10,Advertisement,Opportunity for Jacobs1464,Laura Palmer,Prospecting,New Business,2014-11-28,Pipeline,AE
Lindsey899 Inc,152280,2013-03-05,Advertisement,Opportunity for Gonzalez1465,Johnny Green,Closed Won,New Business,2013-02-07,Closed,AE
Vargas578 Inc,558860,2014-09-17,Public Relations,Opportunity for Walton1466,Dennis Howard,Closed Lost,New Business / Add-on,2014-07-31,Omitted,AE
Bowen938 Inc,1933460,2014-04-10,Partner,Opportunity for Lamb1467,Irene Kelley,Closed Won,New Business / Add-on,2013-09-03,Closed,Alliances
Haynes623 Inc,397738,2013-03-03,Partner,Opportunity for Stanley1468,Chris Riley,Closed Won,New Business,2013-01-10,Closed,AE
Bass271 Inc,15760,2015-07-29,Advertisement,Opportunity for Lee1827,Kelly Frazier,Needs Analysis,New Business,2015-06-30,Pipeline,AE
Shaw160 Inc,1880000,2014-07-04,Seminar - Internal,Opportunity for Manning1828,John Williams,Closed Lost,New Business / Add-on,2014-03-19,Omitted,BDR
Terry245 Inc,427474,2013-12-05,Employee Referral,Opportunity for Moran1829,Laura Garza,Closed Won,New Business,2013-07-19,Closed,Alliances
Cruz272 Inc,787920,2013-09-27,Public Relations,Opportunity for Burns1830,Catherine Brown,Closed Won,New Business / Add-on,2013-03-13,Closed,AE
Myers320 Inc,359939,2014-07-09,Employee Referral,Opportunity for Clarke1831,John Williams,Closed Won,New Business,2014-01-05,Closed,Marketing
Lindsey899 Inc,351025,2013-07-18,Public Relations,Opportunity for Clark1832,Laura Garza,Closed Lost,Existing Business,2013-02-01,Omitted,AE
Oliver444 Inc,2746900,2013-08-18,Advertisement,Opportunity for Sharp1833,Doroth Gardner,Closed Won,Existing Business,2013-07-27,Closed,Alliances
Gordon406 Inc,1756800,2015-12-17,Partner,Opportunity for Cross1834,Kelly Frazier,Qualification,New Business / Add-on,2015-04-27,Pipeline,Alliances
Richardson779 Inc,5920050,2013-05-30,Seminar - Internal,Opportunity for Hall1835,Dennis Howard,Closed Won,New Business,2013-01-15,Closed,AE
Wagner421 Inc,110986,2015-06-04,Word of mouth,Opportunity for McGee1836,Nicolas Weaver,Closed Won,New Business / Add-on,2015-04-08,Closed,BDR
Salazar150 Inc,179964,2016-01-22,Word of mouth,Opportunity for Ramirez1837,Laura Palmer,Qualification,New Business,2015-06-05,Pipeline,Alliances
Clarke268 Inc,862000,2012-09-26,Employee Referral,Opportunity for Pittman1838,Eric Gutierrez,Closed Lost,New Business,2012-05-24,Omitted,Marketing
Williamson719 Inc,335277,2013-03-19,Web,Opportunity for McCormick1839,Laura Garza,Closed Lost,New Business / Add-on,2012-07-31,Omitted,AE
Nguyen793 Inc,1263240,2014-05-01,Partner,Opportunity for Griffith1840,Eric Sanchez,Closed Won,Existing Business,2013-12-28,Closed,AE
Wright507 Inc,3620800,2013-07-04,Public Relations,Opportunity for Santiago1841,Harold Campbell,Closed Won,New Business,2013-02-21,Closed,AE
Byrd23 Inc,1871100,2012-09-10,Employee Referral,Opportunity for Crawford1842,Dennis Howard,Closed Won,New Business,2012-08-27,Closed,Alliances
Arnold813 Inc,1876750,2015-06-12,Employee Referral,Opportunity for Lawson1843,Johnny Green,Closed Won,New Business,2014-11-21,Closed,BDR
Robertson5 Inc,3570200,2015-07-21,Employee Referral,Opportunity for Medina1844,Julie Chavez,Value Proposition,Existing Business,2015-01-31,Pipeline,AE
Walton636 Inc,364475,2013-07-16,Employee Referral,Opportunity for Chapman1845,Irene McCoy,Closed Won,New Business,2013-03-27,Closed,AE
Martinez181 Inc,1531940,2014-04-17,Word of mouth,Opportunity for Gordon1846,Harold Campbell,Closed Won,New Business,2014-01-13,Closed,BDR
McCarthy602 Inc,1096500,2015-01-25,Word of mouth,Opportunity for Roberts1847,Dennis Howard,Closed Won,New Business,2014-07-09,Closed,BDR
Miller206 Inc,1958600,2012-11-26,Employee Referral,Opportunity for Grant1848,Dennis Howard,Closed Lost,New Business,2012-05-04,Omitted,BDR
Walsh951 Inc,3306250,2014-06-09,Advertisement,Opportunity for Chavez1849,Irene Kelley,Closed Won,Existing Business,2013-12-10,Closed,AE
Henry405 Inc,2120,2013-03-27,Advertisement,Opportunity for Jimenez1850,Evelyn Williamson,Closed Won,New Business,2012-08-02,Closed,Alliances
Graves33 Inc,388890,2015-01-08,Advertisement,Opportunity for Ramos1851,Bruce Kennedy,Closed Won,Existing Business,2014-08-20,Closed,Marketing
Bryant456 Inc,1269390,2015-08-02,Partner,Opportunity for Adams708,Nicolas Weaver,Prospecting,New Business,2014-12-26,Pipeline,Marketing
Davis540 Inc,757350,2014-02-13,Public Relations,Opportunity for Roy709,Evelyn Williamson,Closed Won,New Business,2013-08-04,Closed,Marketing
Duncan373 Inc,199840,2013-10-02,Trade Show,Opportunity for Craig710,Catherine Brown,Closed Won,New Business,2013-07-01,Closed,Marketing
Underwood142 Inc,281700,2015-07-20,Word of mouth,Opportunity for Luna711,Dennis Howard,Value Proposition,New Business,2015-04-05,Pipeline,BDR
Rodgers131 Inc,2166550,2012-05-22,Advertisement,Opportunity for Farmer712,Doroth Gardner,Closed Won,New Business,2011-12-03,Closed,Alliances
Joseph730 Inc,2717500,2015-11-13,Advertisement,Opportunity for Morgan713,Chris Riley,Prospecting,Existing Business,2015-04-20,Pipeline,AE
Hall230 Inc,559580,2015-07-04,Web,Opportunity for Massey714,Laura Garza,Closed Won,New Business,2015-05-03,Closed,Marketing
Herrera637 Inc,2818630,2014-09-21,Word of mouth,Opportunity for Quinn715,Laura Garza,Closed Won,New Business / Add-on,2014-05-02,Closed,AE
Ryan684 Inc,401441,2014-03-27,Trade Show,Opportunity for Ward716,Eric Gutierrez,Closed Won,Existing Business,2013-08-17,Closed,BDR
Norris77 Inc,1023320,2015-08-26,Word of mouth,Opportunity for Freeman717,Irene McCoy,Value Proposition,Existing Business,2015-01-01,Pipeline,Marketing
Lowe352 Inc,776540,2014-10-19,Partner,Opportunity for Ross718,Kelly Frazier,Closed Won,New Business / Add-on,2014-07-27,Closed,Marketing
Riley999 Inc,32280,2013-01-29,Web,Opportunity for Lewis719,Bruce Kennedy,Closed Won,New Business,2012-06-13,Closed,BDR
Obrien994 Inc,104760,2014-07-09,Employee Referral,Opportunity for Maldonado720,Johnny Green,Closed Won,New Business,2014-05-26,Closed,Marketing
Evans281 Inc,2367210,2015-02-11,Advertisement,Opportunity for Reeves721,Irene McCoy,Closed Won,New Business / Add-on,2014-08-25,Closed,BDR
Warner699 Inc,327145,2015-12-17,Partner,Opportunity for Joseph722,Chris Riley,Value Proposition,Existing Business,2015-06-20,Pipeline,BDR
Holland842 Inc,1109420,2012-11-16,Word of mouth,Opportunity for Delgado723,Johnny Green,Closed Won,Existing Business,2012-07-14,Closed,BDR
Bowen576 Inc,225115,2013-06-06,Public Relations,Opportunity for Ray724,Laura Garza,Closed Won,Existing Business,2013-05-16,Closed,AE
Bennett519 Inc,192920,2012-11-29,Public Relations,Opportunity for Todd725,Evelyn Williamson,Closed Won,New Business,2012-05-24,Closed,Alliances
Stone414 Inc,23640,2014-04-06,Web,Opportunity for Davidson726,Eric Gutierrez,Closed Won,New Business / Add-on,2014-01-05,Closed,BDR
James431 Inc,65200,2013-10-23,Employee Referral,Opportunity for Moreno727,Johnny Green,Closed Lost,New Business / Add-on,2013-03-14,Omitted,BDR
Mendoza936 Inc,1641600,2015-07-16,Web,Opportunity for Silva728,Doroth Gardner,Perception Analysis,Existing Business,2015-04-23,BestCase,Marketing
West416 Inc,1666850,2015-09-07,Employee Referral,Opportunity for Simpson729,Catherine Brown,Prospecting,New Business,2015-02-11,Pipeline,AE
Reese490 Inc,97200,2012-10-12,Word of mouth,Opportunity for Flores730,John Williams,Closed Lost,New Business,2012-09-22,Omitted,AE
Harper70 Inc,963950,2012-08-19,Employee Referral,Opportunity for Smith731,Irene McCoy,Closed Lost,Existing Business,2012-05-30,Omitted,AE
Dean902 Inc,461458,2014-08-12,Trade Show,Opportunity for Moss732,Catherine Brown,Closed Won,Existing Business,2014-05-08,Closed,Marketing
McKenzie887 Inc,1134385,2014-11-27,Employee Referral,Opportunity for Pope1093,Bruce Kennedy,Closed Won,New Business,2014-11-15,Closed,BDR
Myers320 Inc,79480,2015-04-08,Partner,Opportunity for Miles1094,Harold Campbell,Closed Won,Existing Business,2014-11-20,Closed,AE
Pittman334 Inc,1671950,2012-11-28,Seminar - Internal,Opportunity for Nichols1095,Laura Palmer,Closed Lost,New Business,2012-08-28,Omitted,BDR
Dawson260 Inc,2660000,2013-01-12,Partner,Opportunity for Hoffman1096,Eric Sanchez,Closed Won,New Business,2012-12-20,Closed,AE
Williamson719 Inc,1538650,2012-12-03,Public Relations,Opportunity for Sanchez1097,Harold Campbell,Closed Lost,New Business / Add-on,2012-07-19,Omitted,AE
